finding,type,freq,curator_had,agent_added,agent_missed,my_verdict,my_severity,my_rationale,YOUR_VERDICT,CORRECT_ETIOLOGY,YOUR_SEVERITY,NOTES,description
unilateral hilar enlargement,over-call,46179,(none),inflammatory(x6); neoplastic:malignant(x6); vascular(x4); neoplastic:metastatic(x1),-,wrong-off,large,malignant+inflammatory+vascular differential pasted on a descriptive finding,Curator is right,None is best,,,"Increased size of the hilar structures on one side, often due to adenopathy or vascular abnormality."
vertebral coronal cleft,over-call,46179,congenital,developmental(x6),-,family-sibling,small,developmental vs congenital; genuine formation variant,OK,Dev/var/cong triad,No penalty,,Presence of a cleft or split in the coronal plane of a vertebra.
arterial tortuosity,over-call,46118,(none),congenital(x4); degenerative(x1); developmental(x1),-,wrong-off,large,"acquired/degenerative not congenital (reviewer-confirmed); correct=degenerative, curator under-called",Curator is right,"None is best, these are justifiable",Moderate penalty,,Marked twisting or winding of an artery.
cardiac valve thickening,mixed,46118,degenerative; inflammatory,autoimmune(x1),inflammatory(x3); degenerative(x1),under-call,moderate,"missed degenerative/inflammatory commonly; added autoimmune (rheumatic, defensible)",Curator is right,No autoimmune,Moderate penalty,,"Thickening of the cardiac valves, often associated with stenosis or valvular disease."
air in esophagus,omission,46087,normal-variant,-,normal-variant(x3),unsure,?,curator normal-variant; air can be normal or pathologic; agent omitted,Curator is right,Could be blank,Small penalty,,Presence of air within the esophagus
dental periapical opacity,over-call,46087,(none),inflammatory(x3),-,unsure,?,opacity often condensing osteitis/osseous dysplasia; inflammatory plausible but uncertain,Curator is right,Should probably be blank,Small penalty,,Increased radiodensity around the apex of a tooth
fracture,omission,46087,traumatic:acute; traumatic:sequela,-,traumatic:sequela(x3),family-sibling,small,"kept traumatic:acute, missed traumatic:sequela; sibling (sequela is a stretch)",Curator is right,Not having both is probably OK,Small penalty,,Disruption of cortical bone continuity identified on radiograph.
breast calcification cluster,over-call,46028,(none),neoplastic:potential(x1),-,unsure,?,clusters can flag malignancy; neoplastic:potential defensible or over-reach?,Agent is right,Neoplastic potential is right ,No penalty,,Breast calcification clusters are typically a sign of benign changes in breast tissue but can sometimes indicate malignancy.
breast soft tissue lesion,over-call,46028,(none),neoplastic:benign(x1); neoplastic:malignant(x1),-,unsure,?,prompt says unspecified lesion -> benign+malignant; curator blank; whose call?,Neither is right,Should just be neoplastic:potential,Small penalty,,"A breast soft tissue lesion refers to any abnormal growth or mass within the soft tissue of the breast, which may include various entities such as cysts, fibromas, or malignant tumors, typically ident"
Pneumonia,omission,46028,inflammatory; inflammatory:infectious,-,inflammatory(x1),family-parentchild,small,"kept inflammatory:infectious, dropped parent inflammatory; correct per no-parent+child rule",Curator has both parent and child,Should just be inflammatory,Small penalty,,This module describes the Common Data elements and Macros for Pneumonia
sternal fixation,mixed,46028,iatrogenic:device,iatrogenic:post-operative(x1),iatrogenic:device(x1),family-sibling,small,iatrogenic:post-operative vs device; both true,Agent is right,iatrogenic:post-operative,No penalty,,Orthopedic hardware securing a sternal fracture or osteotomy.
vertebral compression fracture,over-call,46028,traumatic:acute; traumatic:sequela,degenerative(x1),-,defensible,small,osteoporotic/insufficiency = degenerative is defensible; curator focused traumatic,Curator is right,Justifiable to add degeneratie,Small penalty,,"Loss of vertebral body height due to axial loading, appearing as wedging or endplate depression on radiograph."
